ID,Name,github src,Manufacturer,Burst,Element,Class,Rarity,Gun,Reload Time,Ammo,RoF,RoF/60,Burst value,F1/ 0.000,F2/ 0.033,F3/ 0.067,F4/ 0.100,F5/ 0.133,F6/ 0.167,F7/ 0.200,F8/ 0.233,F9/ 0.267,F10/ 0.300,F11/ 0.333,F12/ 0.367,F13/ 0.400,F14/ 0.433,F15/ 0.467,F16/ 0.500,F17/ 0.533,F18/ 0.567,F19/ 0.600,F20/ 0.633,F21/ 0.667,F22/ 0.700,F23/ 0.733,F24/ 0.767,F25/ 0.800,F26/ 0.833,F27/ 0.867,F28/ 0.900,F29/ 0.933,F30/ 0.967,F31/ 1.000,F32/ 1.033,F33/ 1.067,F34/ 1.100,F35/ 1.133,F36/ 1.167,F37/ 1.200,F38/ 1.233/ 2RL,F39/ 1.267,F40/ 1.300,F41/ 1.333,F42/ 1.367,F43/ 1.400,F44/ 1.433,F45/ 1.467,F46/ 1.500,F47/ 1.533,F48/ 1.567,F49/ 1.600,F50/ 1.633,F51/ 1.667,F52/ 1.700,F53/ 1.733,F54/ 1.767,F55/ 1.800,F56/ 1.833,F57/ 1.867,F58/ 1.900,F59/ 1.933,F60/ 1.967,F61/ 2.000,F62/ 2.033,F63/ 2.067,F64/ 2.100,F65/ 2.133,F66/ 2.167,F67/ 2.200,F68/ 2.233,F69/ 2.267,F70/ 2.300,F71/ 2.333,F72/ 2.367,F73/ 2.400,F74/ 2.433,F75/ 2.467/ 2RL,F76/ 2.500,F77/ 2.533,F78/ 2.567,F79/ 2.600,F80/ 2.633,F81/ 2.667,F82/ 2.700,F83/ 2.733,F84/ 2.767,F85/ 2.800,F86/ 2.833,F87/ 2.867,F88/ 2.900,F89/ 2.933,F90/ 2.967,F91/ 3.000,F92/ 3.033,F93/ 3.067,F94/ 3.100,F95/ 3.133,F96/ 3.167,F97/ 3.200,F98/ 3.233,F99/ 3.267,F100/ 3.300,F101/ 3.333,F102/ 3.367,F103/ 3.400,F104/ 3.433,F105/ 3.467,F106/ 3.500,F107/ 3.533,F108/ 3.567,F109/ 3.600,F110/ 3.633,F111/ 3.667,F112/ 3.700/ 3RL,F113/ 3.733,F114/ 3.767,F115/ 3.800,F116/ 3.833,F117/ 3.867,F118/ 3.900,F119/ 3.933,F120/ 3.967,F121/ 4.000,F122/ 4.033,F123/ 4.067,F124/ 4.100,F125/ 4.133,F126/ 4.167,F127/ 4.200,F128/ 4.233,F129/ 4.267,F130/ 4.300,F131/ 4.333,F132/ 4.367,F133/ 4.400,F134/ 4.433,F135/ 4.467,F136/ 4.500,F137/ 4.533,F138/ 4.567,F139/ 4.600,F140/ 4.633,F141/ 4.667,F142/ 4.700,F143/ 4.733,F144/ 4.767,F145/ 4.800,F146/ 4.833,F147/ 4.867,F148/ 4.900,F149/ 4.933,F150/ 4.967/ 4RL
11,Pascal,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Pascal.webp,Abnormal,B2,Iron,Supporter,SSR,RL (Special),2,6,60,1,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,36.8,36.8
12,Drake Treasure,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Drake%20Treasure.webp,Missilis,B3,Fire,Attacker,SSR,Clip SG,2,9,135,2.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,18,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,27.45,24.45,24.45,24.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,36.45,36.45
13,Maiden Ice Rose,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Maiden%20Ice%20Rose.webp,Elysion,B1,Electric,Defender,SSR,RL,2,6,60,1,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,36.4,36.4
14,Drake,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Drake.webp,Missilis,B3,Fire,Attacker,SSR,Clip SG,2,9,135,2.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,18,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,27,24,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,36,36
15,Maiden,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Maiden.webp,Elysion,B3,Electric,Attacker,SSR,Clip SG,2,6,135,2.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,18,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,27,24,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,36,36
16,Neon,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Neon.webp,Elysion,B1,Fire,Supporter,SR,Clip SG,2,9,135,2.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,18,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,27,24,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,36,36
17,Noir,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Noir.webp,Tetra,B3,Wind,Attacker,SSR,Clip SG,2,9,135,2.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,18,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,27,24,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,36,36
18,Pepper,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Pepper.webp,Missilis,B1,Wind,Supporter,SSR,Clip SG,2,9,135,2.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,18,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,27,24,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,36,36
19,Product 23,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Product%2023.webp,Missilis,B2,Wind,Defender,SR,Clip SG,2,9,135,2.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,18,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,27,24,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,36,36
20,Soda Twinkling Bunny,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Soda%20Twinkling%20Bunny.webp,Tetra,B3,Iron,Attacker,SSR,Clip SG,2,9,135,2.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,18,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,27,24,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,36,36
21,Sugar,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Sugar.webp,Tetra,B3,Iron,Attacker,SSR,Clip SG,2,9,135,2.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,18,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,27,24,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,36,36
22,Viper,https://raw.githubusercontent.com/sirentide/public-host/refs/heads/master/image-name-only/Viper.webp,Tetra,B2,Water,Attacker,SSR,Clip SG,2,9,135,2.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,18,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,27,24,24,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,36,36
